Latin Name,Common Name,Type,Color,Bloom Period,Photo
Penstemon nitidus,Wax-leaved penstemon,perennials,Violet,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Penstemon_nitidus_-_Patrick_Alexander_01.jpg/640px-Penstemon_nitidus_-_Patrick_Alexander_01.jpg
Penstemon ovatus,Broad-leaved penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Penstemon_ovatus_-_John_A_Haskins_01.jpg/640px-Penstemon_ovatus_-_John_A_Haskins_01.jpg
Penstemon procerus,Small-flowered penstemon,perennials,Blue,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Penstemon_procerus_21933.JPG/640px-Penstemon_procerus_21933.JPG
Penstemon pruinosus,Chelan penstemon,perennials,Blue,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Penstemon_pruinosus_1.jpg/640px-Penstemon_pruinosus_1.jpg
Penstemon richardsonii,Richardson's penstemon,perennials,Rose Pink,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Penstemon_richardsonii_kz01.jpg/640px-Penstemon_richardsonii_kz01.jpg
Penstemon serrulatus,Coast penstemon,perennials,Lilac,June-August,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Penstemon_serrulatus_IMG_1954.jpg/640px-Penstemon_serrulatus_IMG_1954.jpg
Stachys cooleyae,Cooley's Hedge Nettle,perennials,Purple,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Stachys_cooleyae_1.jpg/640px-Stachys_cooleyae_1.jpg
Holodiscus discolor,Oceanspray,shrubs,White,June-July,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Holodiscus_discolor_p1216.jpg/640px-Holodiscus_discolor_p1216.jpg
Lonicera involucrata,Black Twinberry,shrubs,Yellow,April-May,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Lonicera_involucrata_FWS-01.jpg/640px-Lonicera_involucrata_FWS-01.jpg
Oemleria cerasiformis,Indian plum,shrubs,White,March-April,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Oemleria_cerasiformis_kz08.jpg/640px-Oemleria_cerasiformis_kz08.jpg
Philadelphus lewisii var. gordonianus,Lewis' Mock Orange,shrubs,White,June,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Philadelphus_July_2013-1.jpg/640px-Philadelphus_July_2013-1.jpg
Ribes lobbii,Gummy gooseberry,shrubs,Scarlett,June,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Ribes_lobbii_-_Flickr_-_Colin_Durfee.jpg/640px-Ribes_lobbii_-_Flickr_-_Colin_Durfee.jpg
Ribes sanguineum,Red flowering currant,shrubs,Pink,March-May,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Ribes_sanguineum_%27Pulborough_Scarlet_Variegata%27_kz03.jpg/640px-Ribes_sanguineum_%27Pulborough_Scarlet_Variegata%27_kz03.jpg
Rosa nutkana,Nootka Rose,shrubs,Purple,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Rosa_nutkana_07513.JPG/640px-Rosa_nutkana_07513.JPG
Rubus parviflorus,Thimbleberry,shrubs,White,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Thimbleberry_%28Rubus_parviflorus%29_-_Flickr_-_brewbooks.jpg/640px-Thimbleberry_%28Rubus_parviflorus%29_-_Flickr_-_brewbooks.jpg
Rubus spectabilis,Salmonberry,shrubs,Pink,April-May,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Rubus_spectabilis_4_RF.jpg/640px-Rubus_spectabilis_4_RF.jpg
Symphoricarpos albus,Common snowberry,shrubs,Pink,May-June,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Symphoricarpos_albus_%285062664930%29.jpg/640px-Symphoricarpos_albus_%285062664930%29.jpg
Vaccinium ovatum,Evergreen huckleberry,shrubs,Pink,April-July,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vaccinium_ovatum_2.jpg/640px-Vaccinium_ovatum_2.jpg
Acer circinatum,Vines Maple,trees,White,May,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Acer_circinatum_6925.JPG/640px-Acer_circinatum_6925.JPG
Malus fusca,Pacific Crabapple,trees,White,April-May,https://henriettapark.org/wp-content/uploads/2021/07/IMG_0473.jpg
